ProspectiveBuyerKey,ProspectAlternateKey,FirstName,MiddleName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,AddressLine2,City,StateProvinceCode,PostalCode,Phone,Salutation,Unknown,BikeBuyer,PredictProbability
32,9393,Alicia,,Deng,1974-02-15 00:00:00,S,F,adeng@cpandl.com,70000,4,0,Graduate D,Professional,1,0,8958 Carleton Street,,Concord,CA,94519,278-555-0139,Ms.,4,1,0.63394120421317401
33,2997,Adrienne,,Diaz,1970-10-07 00:00:00,S,F,adiaz@cpandl.com,30000,1,1,Bachelors,Clerical,1,1,5669 Ironwood Way,,Daly City,CA,94015,1 (11) 500 555-0117,Ms.,4,1,0.55209115098587702
34,6446,Anne,,Diaz,1940-01-25 00:00:00,S,F,adiaz@fineartschool.net,20000,1,0,Graduate D,Clerical,0,0,5553 Kahrs Avenue,,Olympia,WA,98501,1 (11) 500 555-0144,Ms.,1,1,0.63394120421317401
35,7210,Allen,,Engineer,1965-04-22 00:00:00,S,M,aengineer@adatum.com,20000,1,0,Graduate D,Clerical,1,0,8513 Hurlstone Ct.,,Altadena,CA,91001,1 (11) 500 555-0133,Mr.,4,1,0.63394120421317401
36,7335,Andre,A,Engineer,1974-02-28 00:00:00,S,M,aengineer@thephone-company.com,50000,1,1,Bachelors,Skilled Manual,0,1,North 93270 Newport Highway,,Spokane,WA,99202,458-555-0118,Mr.,1,1,0.55209115098587702
37,7346,Andre,R,Fernandez,1973-11-02 00:00:00,S,M,afernandez@adatum.com,20000,0,0,Partial Co,Manual,1,1,2292 Springlake Drive,,Bellflower,CA,90706,1 (11) 500 555-0184,Mr.,4,1,0.55209115098587702
39,54037360548,Abigail,E,Flores,1957-01-27 00:00:00,M,F,aflores@baldwinmuseumofscience.com,30000,1,0,Bachelors,Skilled Manual,0,1,867 Maria Vega Court,,Colma,CA,94014,622-555-0116,Ms.,4,1,0.55209115098587702
43,3084,Ann,C,Garcia,1965-03-14 00:00:00,S,F,agarcia@fineartschool.net,70000,5,4,Partial Co,Skilled Manual,1,3,7469 Paraiso Ct.,,Newport Hills,WA,98006,1 (11) 500 555-0116,Ms.,1,1,0.56077962044793983
45,30082042217,Alexia,W,Gonzales,1957-04-02 00:00:00,S,F,agonzales@contoso.com,90000,4,2,Partial Co,Professional,0,1,5097 Waterfall Way,,San Francisco,CA,94109,1 (11) 500 555-0140,Ms.,4,1,0.55209115098587702
47,45254837274,Alexandra,G,Gonzalez,1964-09-20 00:00:00,S,F,agonzalez@cpandl.com,50000,1,0,Partial Co,Skilled Manual,0,1,9075 Calle Verde,,Concord,CA,94519,246-555-0162,Ms.,4,1,0.55209115098587702
48,15732240080,Abigail,,Gray,1972-11-02 00:00:00,M,F,agray@consolidatedmessenger,80000,0,0,Bachelors,Management,0,1,78025 E. Merritt Isl. Cswy.,,Merritt Island,FL,32952,440-555-0165,Ms.,5,1,0.55209115098587702
50,96640200614,Alyssa,C,Griffin,1974-10-18 00:00:00,S,F,agriffin@cohovineyard.com,60000,1,0,Graduate D,Professional,1,0,6916 Azores,,Grossmont,CA,91941,862-555-0186,Ms.,4,1,0.63394120421317401
52,6732,Albert,,Gutierrez,1961-09-12 00:00:00,S,M,agutierrez@adatum.com,70000,2,1,Partial Co,Professional,0,0,7656 Ramsey Circle,,Chandler,AZ,85225,984-555-0146,Mr.,4,1,0.63394120421317401
53,81310099363,Alex,R,Hall,1977-09-02 00:00:00,S,M,ahall@cohovineyard.com,50000,0,0,Graduate D,Skilled Manual,1,0,9115 Arthur Rd.,,Fremont,CA,94536,640-555-0113,Mr.,4,1,0.63394120421317401
54,47757043200,Allison,,Hall,1962-06-10 00:00:00,S,F,ahall@contoso.com,80000,5,4,Graduate D,Professional,0,0,Desoto Square,,Bradenton,FL,34205,162-555-0176,Ms.,5,1,0.63394120421317401
55,53469896316,Abigail,C,Hall,1976-06-24 00:00:00,S,F,ahall@northwindtraders.com,90000,0,0,High Schoo,Management,1,3,8036 Summit View Dr.,,Gold Bar,WA,98251,1 (11) 500 555-0162,Ms.,1,1,0.56077962044793983
57,5556,Alejandro,,He,1964-05-13 00:00:00,M,M,ahe@fabrikam.com,60000,1,0,Partial Co,Skilled Manual,1,1,Pyramid Mall,,Ithaca,NY,14850,1 (11) 500 555-0132,Mr.,2,1,0.55209115098587702
59,43977499604,Allison,R,Hill,1964-07-27 00:00:00,S,F,ahill@cpandl.com,10000,1,1,High Schoo,Manual,0,1,5121 Alta Vista,,Concord,CA,94519,1 (11) 500 555-0115,Ms.,4,1,0.55209115098587702
62,53178334832,Alexis,M,Jackson,1951-08-22 00:00:00,M,F,ajackson@alpineskihouse.com,70000,4,1,Bachelors,Management,1,1,651 Bridgeview St,,Colma,CA,94014,581-555-0199,Ms.,4,1,0.55209115098587702
63,85074842572,Austin,S,Jackson,1981-08-21 00:00:00,S,M,ajackson@margiestravel.com,30000,0,0,Partial Co,Clerical,1,1,993 Piedmont Dr.,,Bremerton,WA,98312,1 (11) 500 555-0173,Mr.,1,1,0.55209115098587702
64,87213770151,Anthony,,Jackson,1964-11-25 00:00:00,M,M,ajackson@woodgrovebank.com,10000,1,1,High Schoo,Manual,0,1,5537 Baltic Sea Ct.,,Downey,CA,90241,1 (11) 500 555-0176,Mr.,4,1,0.55209115098587702
65,5573,Alejandro,,Jai,1980-07-17 00:00:00,S,M,ajai@baldwinmuseumofscience.com,20000,0,0,High Schoo,Manual,1,1,881 Brannan Pl.,,Colma,CA,94014,1 (11) 500 555-0126,Mr.,4,1,0.55209115098587702
66,36010416200,Alexandria,,James,1951-09-23 00:00:00,M,F,ajames@blueyonderairlines.com,70000,4,1,Bachelors,Management,1,1,2953 St. Francis Drive,,Concord,CA,94519,713-555-0130,Ms.,4,1,0.55209115098587702
69,2499,Audrey,,Jimenez,1964-12-10 00:00:00,S,F,ajimenez@northwindtraders.com,10000,1,1,High Schoo,Manual,1,1,9665 Pamploma Ct.,,Kirkland,WA,98033,1 (11) 500 555-0150,Ms.,1,1,0.55209115098587702
70,2925,Armando,,Jimenez,1966-03-04 00:00:00,S,M,ajimenez@northwindtraders.com,50000,1,0,Partial Co,Skilled Manual,0,1,3880 Batacao,,Kenmore,WA,98028,1 (11) 500 555-0168,Mr.,1,1,0.55209115098587702
71,14482035636,Anna,J,Kelly,1936-02-07 00:00:00,S,F,akelly@adatum.com,80000,3,0,Graduate D,Management,1,1,7750 E Mcdowell Rd,,Scottsdale,AZ,85257,787-555-0191,Ms.,4,1,0.55209115098587702
72,11750849485,Amanda,C,Kelly,1957-08-17 00:00:00,M,F,akelly@adventure-works.com,30000,1,0,Bachelors,Skilled Manual,0,1,Camarillo Athletic Stores,,Camarillo,CA,93010,134-555-0150,Ms.,4,1,0.55209115098587702
77,2417,Aimee,,Liang,1969-11-16 00:00:00,M,F,aliang@fabrikam.com,20000,2,2,High Schoo,Manual,0,1,1601 Crowm Court,,Corvallis,OR,97330,1 (11) 500 555-0131,Ms.,1,1,0.55209115098587702
78,2407,Aimee,J,Lin,1976-10-23 00:00:00,M,F,alin@litwareinc.com,30000,0,0,High Schoo,Manual,1,1,1133 Concord Place,,Portland,OR,97205,1 (11) 500 555-0121,Ms.,1,1,0.55209115098587702
79,9956,Amy,A,Liu,1967-11-18 00:00:00,M,F,aliu@fabrikam.com,70000,0,0,Bachelors,Professional,0,1,6837 Pirate Lane,,Clay,NY,13041,1 (11) 500 555-0150,Ms.,2,1,0.55209115098587702
80,32786041498,Arianna,K,Long,1973-07-21 00:00:00,M,F,along@cohovineyard.com,10000,2,2,High Schoo,Manual,1,1,1349 Palm Ave.,,Los Angeles,CA,90012,1 (11) 500 555-0196,Ms.,4,1,0.55209115098587702
81,96521899104,Alyssa,F,Long,1957-10-09 00:00:00,S,F,along@contoso.com,90000,4,2,Partial Co,Professional,0,1,4698 Royal Oak Rd.,,San Francisco,CA,94109,1 (11) 500 555-0199,Ms.,4,1,0.55209115098587702
82,10852942466,Alexandra,S,Long,1965-10-04 00:00:00,S,F,along@fabrikam.com,10000,1,0,Bachelors,Manual,1,0,8477 Riverwood Circle,,Beaverton,OR,97005,1 (11) 500 555-0186,Ms.,1,1,0.63394120421317401
84,4790,Arthur,C,Lopez,1972-03-05 00:00:00,M,M,alopez@cohovineyard.com,40000,0,0,Graduate D,Clerical,1,0,7549 Longview Rd.,,Mill Valley,CA,94941,1 (11) 500 555-0141,Mr.,4,1,0.63394120421317401
85,827,Abby,C,Malhotra,1970-12-12 00:00:00,S,F,amalhotra@thephone-company.com,50000,0,0,Graduate D,Skilled Manual,1,0,1019 Carletto Drive,,Sedro Woolley,WA,98284,645-555-0181,Ms.,1,1,0.63394120421317401
86,7333,Andre,O,Malhotra,1976-06-18 00:00:00,M,M,amalhotra@thephone-company.com,50000,1,1,Graduate D,Skilled Manual,1,0,6968 Mildred Ln.,,Sedro Woolley,WA,98284,112-555-0110,Mr.,1,1,0.63394120421317401
89,53209384083,Alexis,I,Martin,1968-11-04 00:00:00,M,F,amartin@northwindtraders.com,40000,0,0,High Schoo,Skilled Manual,0,1,3858 Vista Diablo,Unit C,Issaquah,WA,98027,906-555-0156,Ms.,1,1,0.55209115098587702
91,84972505569,Austin,J,Miller,1971-04-23 00:00:00,M,M,amiller@lucernepublishing.com,40000,0,0,High Schoo,Skilled Manual,1,1,8315 Near Ct.,,Ballard,WA,98107,257-555-0119,Mr.,1,1,0.55209115098587702
92,43554965853,Andrea,E,Mitchell,1957-10-24 00:00:00,S,F,amitchell@lucernepublishing.com,90000,4,2,Partial Co,Professional,0,1,3427 C Del Rio Ln,,Anacortes,WA,98221,1 (11) 500 555-0174,Ms.,1,1,0.55209115098587702
95,1054,Andy,,Moreno,1943-05-22 00:00:00,S,M,amoreno@cohovineyard.com,20000,1,0,Bachelors,Clerical,0,0,8202 Lyon Circle,,Long Beach,CA,90802,1 (11) 500 555-0113,Mr.,4,1,0.63394120421317401
97,39921854734,Alexa,,Morgan,1971-04-22 00:00:00,M,F,amorgan@margiestravel.com,10000,3,3,High Schoo,Manual,1,1,3140 Gingham Way,,Bremerton,WA,98312,1 (11) 500 555-0126,Ms.,1,1,0.55209115098587702
98,38816586136,Ariana,J,Morris,1978-10-01 00:00:00,S,F,amorris@litwareinc.com,30000,0,0,Partial Co,Clerical,1,1,9972 San Miguel Rd,,W. Linn,OR,97068,1 (11) 500 555-0116,Ms.,1,1,0.55209115098587702
99,6728,Albert,,Munoz,1973-06-21 00:00:00,M,M,amunoz@cpandl.com,30000,0,0,Bachelors,Clerical,1,0,9371 Corte Del Sol,,Downey,CA,90241,1 (11) 500 555-0177,Mr.,4,1,0.63394120421317401
101,68392822146,Adrian,,Murphy,1976-12-24 00:00:00,S,M,amurphy@fabrikam.com,50000,1,0,Graduate D,Skilled Manual,1,0,1192 Parkway Drive,,Mill Valley,NE,68601,270-555-0127,Mr.,0,1,0.63394120421317401
102,11696153879,Amanda,R,Murphy,1976-11-20 00:00:00,S,F,amurphy@litwareinc.com,40000,1,1,Bachelors,Skilled Manual,1,1,3223 Virgina Hills Drive,#4,Portland,OR,97205,1 (11) 500 555-0151,Ms.,1,1,0.55209115098587702
103,9410,Alicia,D,Nara,1971-08-08 00:00:00,S,F,anara@northwindtraders.com,70000,5,5,Bachelors,Professional,1,3,769 Algiers Drive,,Edmonds,WA,98020,1 (11) 500 555-0176,Ms.,1,1,0.56077962044793983
108,30038343667,Alexia,,Patterson,1977-11-20 00:00:00,S,F,apatterson@cpandl.com,50000,0,0,Graduate D,Skilled Manual,0,0,6564 Bellwood Dr,,Concord,CA,94519,555-555-0194,Ms.,4,1,0.63394120421317401
111,3091,Ann,,Perez,1963-12-24 00:00:00,S,F,aperez@adventure-works.com,100000,5,0,Bachelors,Professional,1,1,8490 Longbrood Way,,Chula Vista,CA,91910,1 (11) 500 555-0120,Ms.,4,1,0.55209115098587702
112,32767083644,Arianna,M,Perry,1970-02-21 00:00:00,S,F,aperry@adventure-works.com,30000,2,2,Partial Co,Manual,0,0,5728 Benedict Ct.,,Chula Vista,CA,91910,1 (11) 500 555-0186,Ms.,4,1,0.63394120421317401
114,96121359467,Alyssa,M,Peterson,1975-08-25 00:00:00,S,F,apeterson@cohovineyard.com,60000,1,0,Graduate D,Professional,1,0,6332 N. Thompson Rd,,Grossmont,CA,91941,910-555-0146,Ms.,4,1,0.63394120421317401
115,14424062371,Anna,,Peterson,1974-08-25 00:00:00,M,F,apeterson@litwareinc.com,70000,4,0,Graduate D,Professional,1,0,4064 Regina Lane,,Oregon City,OR,97045,560-555-0140,Ms.,1,1,0.63394120421317401
116,10756163000,Alexandra,M,Peterson,1963-06-27 00:00:00,S,F,apeterson@litwareinc.com,50000,4,0,Graduate D,Skilled Manual,1,0,4594 Springer Court,,Portland,OR,97205,755-555-0135,Ms.,1,1,0.63394120421317401
117,41771881580,Alexandra,,Phillips,1975-09-12 00:00:00,S,F,aphillips@thephone-company.com,30000,0,0,High Schoo,Manual,0,1,3281 Ana Mile,,Spokane,WA,99202,1 (11) 500 555-0127,Ms.,1,1,0.55209115098587702
120,30104014900,Angelica,A,Price,1971-07-02 00:00:00,M,F,aprice@lucernepublishing.com,50000,2,2,Bachelors,Skilled Manual,1,1,8974 F Mt Hood Circle,,Ballard,WA,98107,808-555-0118,Ms.,1,1,0.55209115098587702
121,57332443600,Aidan,B,Price,1971-07-05 00:00:00,S,M,aprice@margiestravel.com,40000,0,0,High Schoo,Skilled Manual,1,1,8157 W. Buchanan,,Bothell,WA,98011,269-555-0127,Mr.,1,1,0.55209115098587702
123,2099,Andres,C,Rai,1973-03-24 00:00:00,M,M,arai@northwindtraders.com,100000,1,0,Graduate D,Management,1,0,7259 Birchwood,,Edmonds,WA,98020,1 (11) 500 555-0134,Mr.,1,1,0.63394120421317401
127,1066,Andy,C,Ramos,1968-05-21 00:00:00,M,M,aramos@margiestravel.com,40000,1,0,Bachelors,Skilled Manual,0,0,9090 Cristobal,,Bremerton,WA,98312,1 (11) 500 555-0164,Mr.,1,1,0.63394120421317401
128,4815,Arthur,J,Ramos,1972-10-25 00:00:00,S,M,aramos@margiestravel.com,30000,1,1,Bachelors,Clerical,1,0,878 Amador Ct,,Bremerton,WA,98312,1 (11) 500 555-0114,Mr.,1,1,0.63394120421317401
129,11683574300,Amanda,,Reed,1972-11-08 00:00:00,M,F,areed@lucernepublishing.com,20000,1,1,Partial Co,Manual,1,1,99450 Highway 59 North,,Humble,TX,77338,1 (11) 500 555-0163,Ms.,4,1,0.55209115098587702
130,36380754100,Angela,,Richardson,1959-07-18 00:00:00,S,F,arichardson@fineartschool.net,10000,2,0,Partial Co,Manual,1,0,614 Shepberry Court,,Olympia,WA,98501,1 (11) 500 555-0186,Ms.,1,1,0.63394120421317401
131,38351678848,Andrea,C,Rivera,1960-11-22 00:00:00,S,F,arivera@alpineskihouse.com,20000,1,0,Bachelors,Clerical,0,0,1567 W Lake Drive,,Colma,CA,94014,1 (11) 500 555-0183,Ms.,4,1,0.63394120421317401
132,7350,Andre,A,Rodriguez,1961-11-13 00:00:00,M,M,arodriguez@adventure-works.com,40000,1,0,Partial Co,Clerical,1,1,99000 S. Avalon Blvd. Suite 750,,Carson,CA,90746,572-555-0131,Mr.,4,1,0.55209115098587702
134,39219276905,Arianna,,Rogers,1978-12-03 00:00:00,M,F,arogers@cohovineyard.com,50000,0,0,Graduate D,Skilled Manual,0,0,2775 Robinson Ave.,,Long Beach,CA,90802,969-555-0116,Ms.,4,1,0.63394120421317401
135,69732639193,Adrian,A,Rogers,1973-01-05 00:00:00,S,M,arogers@margiestravel.com,40000,0,0,Graduate D,Clerical,1,0,5543 Royal Arch Court,,Burien,WA,98168,1 (11) 500 555-0121,Mr.,1,1,0.63394120421317401
136,3004,Adrienne,D,Romero,1970-11-04 00:00:00,S,F,aromero@fabrikam.com,90000,0,0,Bachelors,Professional,0,0,Consumer Square,,Cheektowaga,NY,14227,1 (11) 500 555-0147,Ms.,2,1,0.63394120421317401
141,11650255918,Amanda,R,Sanchez,1961-07-22 00:00:00,S,F,asanchez@contoso.com,10000,1,0,Bachelors,Clerical,1,0,Amity Plaza,,New Haven,CT,6510,1 (11) 500 555-0122,Ms.,0,1,0.63394120421317401
142,7226,Allen,B,Sanchez,1971-03-12 00:00:00,S,M,asanchez@fabrikam.com,60000,0,0,Graduate D,Professional,1,1,7779 Marfargoa Drive,,Cheektowaga,NY,14227,136-555-0133,Mr.,2,1,0.55209115098587702
144,1069,Andy,,Sanz,1972-11-19 00:00:00,M,M,asanz@consolidatedmessenger,50000,2,2,Bachelors,Skilled Manual,1,1,6055 Shawnee Industrial Way,,Suwanee,GA,30024,360-555-0191,Mr.,5,1,0.55209115098587702
145,44369343500,Andrea,,Scott,1979-01-24 00:00:00,S,F,ascott@margiestravel.com,30000,0,0,Partial Co,Clerical,1,1,7176 Chatworth,,Bremerton,WA,98312,1 (11) 500 555-0169,Ms.,1,1,0.55209115098587702
146,4814,Arthur,O,Serrano,1957-04-07 00:00:00,S,M,aserrano@cpandl.com,30000,1,0,Bachelors,Skilled Manual,1,1,9947 Buskirk Avenue,,Concord,CA,94519,978-555-0134,Mr.,4,1,0.55209115098587702
150,2476,Autumn,,She,1965-06-11 00:00:00,S,F,ashe@cohovineyard.com,80000,5,4,Partial Co,Professional,0,3,3664 Colt Ct.,,Richmond,CA,94801,963-555-0174,Ms.,4,1,0.56077962044793983
152,2080,Andres,,She,1970-03-04 00:00:00,S,M,ashe@humongousinsurance.com,100000,0,0,Graduate D,Management,1,1,5292 Blue Ridge Drive,,Lebanon,OR,97355,1 (11) 500 555-0149,Mr.,1,1,0.55209115098587702
154,10875526700,Alexandra,M,Simmons,1959-11-10 00:00:00,S,F,asimmons@blueyonderairlines.com,90000,2,1,High Schoo,Professional,1,1,3665 Oak Creek Ct.,,Concord,CA,94519,854-555-0172,Ms.,4,1,0.55209115098587702
155,30272082090,Angelica,A,Simmons,1962-03-25 00:00:00,M,F,asimmons@lucernepublishing.com,20000,2,0,Partial Co,Manual,1,1,Southwest Outlet,,Hillsboro,TX,76645,1 (11) 500 555-0174,Ms.,4,1,0.55209115098587702
157,86713050007,Anthony,P,Smith,1973-12-07 00:00:00,S,M,asmith@alpineskihouse.com,50000,0,0,Graduate D,Skilled Manual,1,0,1693 C Northwood Dr,,Colma,CA,94014,1 (11) 500 555-0163,Mr.,4,1,0.63394120421317401
158,53950794935,Anna,F,Smith,1967-07-20 00:00:00,S,F,asmith@thephone-company.com,50000,4,2,Bachelors,Professional,1,3,9216 Sandy Way,,Puyallup,WA,98371,224-555-0126,Ms.,1,1,0.56077962044793983
161,6464,Anne,G,Suarez,1976-03-05 00:00:00,S,F,asuarez@contoso.com,110000,0,5,Partial Co,Management,1,3,5725 Glazier Drive,,San Francisco,CA,94109,1 (11) 500 555-0179,Ms.,4,1,0.56077962044793983
163,85043627023,Austin,A,Thomas,1960-03-16 00:00:00,M,M,athomas@consolidatedmessenger,40000,1,0,Partial Co,Clerical,1,1,25 N State St,,Chicago,IL,60610,118-555-0123,Mr.,3,1,0.55209115098587702
166,34761418700,Ariana,J,Torres,1959-08-04 00:00:00,M,F,atorres@alpineskihouse.com,80000,3,2,Partial Co,Professional,1,1,7046 Slavio,,Colma,CA,94014,892-555-0197,Ms.,4,1,0.55209115098587702
167,96115834100,Alyssa,,Torres,1951-09-21 00:00:00,S,F,atorres@fineartschool.net,50000,2,1,Bachelors,Management,0,1,2951 Cape Cod Way,,Marysville,WA,98270,329-555-0116,Ms.,1,1,0.55209115098587702
169,34826805600,Alexandria,,Torres,1972-01-20 00:00:00,M,F,atorres@margiestravel.com,50000,2,2,Bachelors,Skilled Manual,1,0,7057 Striped Maple Court,,Bothell,WA,98011,132-555-0181,Ms.,1,1,0.63394120421317401
173,9953,Amy,L,Wang,1979-05-06 00:00:00,M,F,awang@baldwinmuseumofscience.com,20000,0,0,High Schoo,Manual,1,1,9142 Altura Drive,,Colma,CA,94014,1 (11) 500 555-0134,Ms.,4,1,0.55209115098587702
174,62929312600,Angel,W,Watson,1977-07-23 00:00:00,S,M,awatson@litwareinc.com,50000,0,0,Graduate D,Skilled Manual,0,0,5533 Fremont Street,#113,Portland,OR,97205,566-555-0196,Mr.,1,1,0.63394120421317401
177,53982541600,Anna,,Wilson,1946-05-18 00:00:00,S,F,awilson@adatum.com,120000,2,4,Graduate D,Management,0,3,7709 West Virginia Avenue,,Phoenix,AZ,85004,404-555-0164,Ms.,4,1,0.56077962044793983
178,85004761815,Austin,L,Wilson,1955-01-18 00:00:00,M,M,awilson@cohovineyard.com,60000,2,1,Partial Co,Professional,0,1,4305 Madrid,,National City,CA,91950,924-555-0187,Mr.,4,1,0.55209115098587702
180,179,Alvin,,Wu,1969-04-19 00:00:00,S,M,awu@contoso.com,60000,3,3,Bachelors,Professional,1,1,5243 Harmony Way,,Clearwater,FL,33755,1 (11) 500 555-0196,Mr.,5,1,0.55209115098587702
182,9965,Amy,,Xu,1945-09-18 00:00:00,M,F,axu@consolidatedmessenger,20000,1,0,Bachelors,Clerical,1,0,63 W Monroe,,Chicago,IL,60610,1 (11) 500 555-0180,Ms.,3,1,0.63394120421317401
183,2085,Andres,,Xu,1977-04-03 00:00:00,M,M,axu@contoso.com,10000,0,0,Graduate D,Manual,1,0,Connecticut Post Mall,,Milford,CT,6460,1 (11) 500 555-0179,Mr.,0,1,0.63394120421317401
184,9852,April,H,Xu,1965-07-11 00:00:00,M,F,axu@fineartschool.net,20000,1,0,Graduate D,Clerical,1,0,5346 Clayburn Road,,Olympia,WA,98501,1 (11) 500 555-0120,Ms.,1,1,0.63394120421317401
185,21662647128,Adam,R,Yang,1974-11-25 00:00:00,S,M,ayang@adatum.com,80000,4,4,Graduate D,Management,0,1,9836 Hanson Lane,,Berkeley,CA,94704,1 (11) 500 555-0144,Mr.,4,1,0.55209115098587702
189,3852,Ashlee,G,Yuan,1964-02-28 00:00:00,S,F,ayuan@northwindtraders.com,50000,1,0,Partial Co,Skilled Manual,0,1,6580 Piper Ridge Court,,Issaquah,WA,98027,931-555-0147,Ms.,1,1,0.55209115098587702
191,9854,April,R,Yuan,1971-10-28 00:00:00,M,F,ayuan@woodgrovebank.com,30000,1,1,Bachelors,Clerical,1,0,6560 Waterview Terrace,,Downey,CA,90241,1 (11) 500 555-0122,Ms.,4,1,0.63394120421317401
193,8017,Alan,,Zhao,1978-07-23 00:00:00,S,M,azhao@fabrikam.com,30000,0,0,Partial Co,Clerical,0,1,8981 Carmel Drive,,W. Linn,NV,89701,1 (11) 500 555-0112,Mr.,4,1,0.55209115098587702
194,5292,Alisha,A,Zhou,1972-07-21 00:00:00,S,F,azhou@alpineskihouse.com,110000,2,1,Graduate D,Management,1,3,7370 Rolling Green Circle,,Colma,CA,94014,952-555-0180,Ms.,4,1,0.56077962044793983
198,60813661200,Blake,,Alexander,1979-09-16 00:00:00,S,M,balexander@lucernepublishing.com,70000,0,0,Partial Hi,Skilled Manual,1,3,1542 Del Rey St.,,Ballard,WA,98107,1 (11) 500 555-0171,Mr.,1,1,0.56077962044793983
199,931,Byron,E,Alonso,1974-01-17 00:00:00,M,M,balonso@alpineskihouse.com,50000,1,1,Bachelors,Skilled Manual,0,1,3146 Rose Street,,Colma,CA,94014,528-555-0113,Mr.,4,1,0.55209115098587702
203,90687225461,Brianna,,Barnes,1975-09-25 00:00:00,M,F,bbarnes@lucernepublishing.com,60000,1,0,Graduate D,Professional,1,0,7824 Frayne Ln,,Philadelphia,PA,19107,180-555-0114,Ms.,0,1,0.63394120421317401
205,3692,Bridget,L,Bhat,1967-12-03 00:00:00,S,F,bbhat@humongousinsurance.com,30000,2,2,Partial Co,Clerical,0,0,5317 Mission Drive,,Corvallis,OR,97330,1 (11) 500 555-0147,Ms.,1,1,0.63394120421317401
208,63369264600,Bryan,,Brooks,1974-06-21 00:00:00,S,M,bbrooks@fabrikam.com,50000,1,1,Bachelors,Skilled Manual,0,1,Southgate Mall,,Missoula,MT,59801,225-555-0134,Mr.,0,1,0.55209115098587702
